Local time,Open,High,Low,Close,Volume
17.08.2023 05:30:00.000 GMT+0530,177.127,177.477,171.946,174.406,2215.644
19.08.2023 05:30:00.000 GMT+0530,174.406,174.406,174.406,174.406,0
21.08.2023 05:30:00.000 GMT+0530,175.046,177.667,173.726,177.177,1830.144
23.08.2023 05:30:00.000 GMT+0530,178.486,181.537,175.997,176.307,1723.104
25.08.2023 05:30:00.000 GMT+0530,177.247,179.137,175.807,178.586,1314.8879
27.08.2023 05:30:00.000 GMT+0530,180.036,180.577,178.537,180.136,956.208
29.08.2023 05:30:00.000 GMT+0530,179.657,187.777,179.486,187.716,1629.216
31.08.2023 05:30:00.000 GMT+0530,187.806,189.906,187.477,189.447,1725.5520000000001
02.09.2023 05:30:00.000 GMT+0530,189.447,189.447,189.447,189.447,0
04.09.2023 05:30:00.000 GMT+0530,188.247,189.966,187.596,189.676,781.68
06.09.2023 05:30:00.000 GMT+0530,188.367,188.727,173.546,177.486,1822.74
08.09.2023 05:30:00.000 GMT+0530,178.336,180.227,177.786,178.147,844.836
10.09.2023 05:30:00.000 GMT+0530,180.057,180.287,177.336,179.367,778.332
12.09.2023 05:30:00.000 GMT+0530,179.416,180.087,173.957,174.186,1730.196
14.09.2023 05:30:00.000 GMT+0530,173.977,176.416,173.527,174.907,1585.176
16.09.2023 05:30:00.000 GMT+0530,174.907,174.907,174.907,174.907,0
18.09.2023 05:30:00.000 GMT+0530,176.446,179.616,176.436,179.086,1499.196
20.09.2023 05:30:00.000 GMT+0530,179.227,179.667,173.856,173.916,1956.864
22.09.2023 05:30:00.000 GMT+0530,174.406,177.057,174.046,174.706,956.532
24.09.2023 05:30:00.000 GMT+0530,174.146,176.937,174.146,176.076,884.64
26.09.2023 05:30:00.000 GMT+0530,174.747,175.037,169.046,170.436,1867.596
28.09.2023 05:30:00.000 GMT+0530,169.297,173.057,167.627,171.156,2343.24
30.09.2023 05:30:00.000 GMT+0530,171.156,171.156,171.156,171.156,0
02.10.2023 05:30:00.000 GMT+0530,171.236,174.287,170.816,172.457,2414.3041000000003
